iso_id,iso_number,iso_name,iso_notes,unicode_name,unicode_version,unicode_historic,unicode_notes
"Hebr","125","Hebrew",,"Hebrew","1.0",false,
"Hira","410","Hiragana",,"Hiragana","1.0",false,
"Hluw","080","Anatolian Hieroglyphs (Luwian Hieroglyphs, Hittite Hieroglyphs)",,"Anatolian Hieroglyphs","8.0",true,"Ancient/historic"
"Hmng","450","Pahawh Hmong",,"Pahawh Hmong","7.0",false,
"Hmnp","451","Nyiakeng Puachue Hmong",,"Nyiakeng Puachue Hmong","12.0",false,
"Hrkt","412","Japanese syllabaries (alias for Hiragana + Katakana)",,"Katakana or Hiragana","",false,"See § Hira, § Kana"
"Hung","176","Old Hungarian (Hungarian Runic)",,"Old Hungarian","8.0",true,"Ancient/historic"
"Inds","610","Indus (Harappan)","Not in Unicode, proposal is explored",,,,
"Ital","210","Old Italic (Etruscan, Oscan, etc.)",,"Old Italic","3.1",true,"Ancient/historic"
"Jamo","284","Jamo (alias for Jamo subset of Hangul)","Subset of § Hang",,,,
"Java","361","Javanese",,"Javanese","5.2",false,
"Jpan","413","Japanese (alias for Han + Hiragana + Katakana)","See § Hani, § Hira and § Kana",,,,
"Jurc","510","Jurchen","Not in Unicode",,,,
"Kali","357","Kayah Li",,"Kayah Li","5.1",false,
"Kana","411","Katakana",,"Katakana","1.0",false,
"Kawi","368","Kawi",,"Kawi","15.0",true,"Ancient/historic"
"Khar","305","Kharoshthi",,"Kharoshthi","4.1",true,"Ancient/historic"
"Khmr","355","Khmer",,"Khmer","3.0",false,
"Khoj","322","Khojki",,"Khojki","7.0",true,"Ancient/historic"
"Kitl","505","Khitan large script","Not in Unicode",,,,
"Kits","288","Khitan small script",,"Khitan Small Script","13.0",true,"Ancient/historic"
"Knda","345","Kannada",,"Kannada","1.0",false,
"Kore","287","Korean (alias for Hangul + Han)","See § Hani, § Hang",,,,
"Kpel","436","Kpelle","Not in Unicode, proposal is explored",,,,
"Kthi","317","Kaithi",,"Kaithi","5.2",true,"Ancient/historic"
"Lana","351","Tai Tham (Lanna)",,"Tai Tham","5.2",false,
"Laoo","356","Lao",,"Lao","1.0",false,
"Latf","217","Latin (Fraktur variant)","Typographic variant of Latin (see § Latn)",,,,
"Latg","216","Latin (Gaelic variant)","Typographic variant of Latin (see § Latn)",,,,
"Latn","215","Latin",,"Latin","1.0",false,"See also: Latin script in Unicode"
"Leke","364","Leke","Not in Unicode",,,,
"Lepc","335","Lepcha (Róng)",,"Lepcha","5.1",false,
"Limb","336","Limbu",,"Limbu","4.0",false,
"Lina","400","Linear A",,"Linear A","7.0",true,"Ancient/historic"
"Linb","401","Linear B",,"Linear B","4.0",true,"Ancient/historic"
"Lisu","399","Lisu (Fraser)",,"Lisu","5.2",false,
"Loma","437","Loma","Not in Unicode, proposal is explored",,,,
"Lyci","202","Lycian",,"Lycian","5.1",true,"Ancient/historic"
"Lydi","116","Lydian",,"Lydian","5.1",true,"Ancient/historic"
"Mahj","314","Mahajani",,"Mahajani","7.0",true,"Ancient/historic"
"Maka","366","Makasar",,"Makasar","11.0",true,"Ancient/historic"
"Mand","140","Mandaic, Mandaean",,"Mandaic","6.0",false,
"Mani","139","Manichaean",,"Manichaean","7.0",true,"Ancient/historic"
"Marc","332","Marchen",,"Marchen","9.0",true,"Ancient/historic"
"Maya","090","Mayan hieroglyphs","Not in Unicode",,,,
"Medf","265","Medefaidrin (Oberi Okaime, Oberi Ɔkaimɛ)",,"Medefaidrin","11.0",false,
"Mend","438","Mende Kikakui",,"Mende Kikakui","7.0",false,
